physical_case,run_id,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
Test 2B,t2b-a-h1,A,H1,H1,1,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0.0001611773152305,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,a6b55978819b13f2e2912224a40088e464f5218ae2368e7825a0865e8b1938f2,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000001_parameters.npz
Test 2B,t2b-a-h1,A,H1,H1,5,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0.0001318099037255,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,03d167c349be32bc738c53a7cf4a622f7d46194543bf0e7c72b90e95ee8261e1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000005_parameters.npz
Test 2B,t2b-a-h1,A,H1,H1,10,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0.0001009910456329,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,4da79d222a095588520d7b378841b4e1d13ff73d97830d0fc1d5ead42c90336e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000010_parameters.npz
Test 2B,t2b-a-h1,A,H1,H1,20,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,8.634996929814507e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,b9ce6231200bfac508f013ed895876f66efb68014e8b7a627aa40a429d0365a6,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000020_parameters.npz
Test 2B,t2b-a-h1,A,H1,H1,100,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,6.27323669818677e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,a4df230205b08db5b0d5fc4bf34d462e3f3b088c5672e1d87cdb59bd2de205dd,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000100_parameters.npz
Test 2B,t2b-a-h1,A,H1,H1,500,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,5.2182408479248794e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,7b86597a0db7f191e1588c12187d14ae6a935e1ef129f9ac6c44bd980d29923e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000500_parameters.npz
Test 2B,t2b-a-h1,A,H1,H1,1000,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,4.7943896386394376e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,d45671a935ffb634a8815ea045af390d0eb69ba1ba7a22a48a545385f5cbc495,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000001000_parameters.npz
Test 2B,t2b-a-h1,A,H1,H1,5000,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,3.001818343501887e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,73f39ca1e345256157890f7c918ac41a43684262e4ad11c9465bd35706b16f83,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz
Test 2B,t2b-a-h2,A,H2,H2,0,J_H2,recursive model state,TRAINING TRUTH WINDOWS,5.522341364243512e-05,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-a-h2,A,H2,H2,20,J_H2,recursive model state,TRAINING TRUTH WINDOWS,5.518718280643356e-05,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-a-h5,A,H5,H5,0,J_H5,recursive model state,TRAINING TRUTH WINDOWS,0.0001104468278986,EXISTING DIAGNOSTIC INITIAL ENDPOINT,True,,
Test 2B,t2b-a-h5,A,H5,H5,20,J_H5,recursive model state,TRAINING TRUTH WINDOWS,0.0001101988974667,RECORDED TRAINING FINAL ENDPOINT,True,,
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,0,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.949114275743188,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,cfadd9f3ee02a78c5b3a946b88c039d9f7ed34e719325ff22c92e1fe4afac056,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000000_parameters.npz
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,1,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.7611138863288753,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,7e21d5fd4326a68b324dcf79771d230ce522118b758c07ba04037564c9882809,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000001_parameters.npz
Test 2B,t2b-b-m1y,B,M1-Y,M1-Y,5,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.3509832760358692,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,b62514206777a98739ece9947719f52b29ee501eac27f4691073e686a66cb70a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000005_parameters.npz
