physical_case,run_id,representation,model_label,objective,checkpoint_iteration,curve_role,curve_label,evaluation_state,input_state_indices,target_state_indices,normalized_objective,numerator,denominator,denominator_definition,normalization,weighting,checkpoint_parameter_pytree_sha256,checkpoint_npz_sha256,checkpoint_path,evaluation_source,used_during_optimization
Test 2B,t2b-a-h1,A,H1,J_H1,1,training,TRAINING,Y*=P(X*),0..79,1..80,0.0001611773152305,14537294.47285155,90194420052.5722,FE mixed-state mass energy of analytical one-step source targets at Y*_0..79; equivalent dt^2 increment energy cancels between numerator and denominator,frozen Test-2B X-state input/output normalization; no refit,frozen S/Q finite-element mass and inverse-mass maps,a6b55978819b13f2e2912224a40088e464f5218ae2368e7825a0865e8b1938f2,0a5560d8837ecb2b44bf05c06931de79c55b369982dbaf769406294f4ae299ea,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000001_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_training_objectives_fixed.csv,True
Test 2B,t2b-a-h1,A,H1,J_H1,5,training,TRAINING,Y*=P(X*),0..79,1..80,0.0001318099037255,11888517.823714016,90194420052.5722,FE mixed-state mass energy of analytical one-step source targets at Y*_0..79; equivalent dt^2 increment energy cancels between numerator and denominator,frozen Test-2B X-state input/output normalization; no refit,frozen S/Q finite-element mass and inverse-mass maps,03d167c349be32bc738c53a7cf4a622f7d46194543bf0e7c72b90e95ee8261e1,9593e34d08da8a8b7328de646561d52480cdcebcaf7fac6979d389d5375253d7,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000005_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_training_objectives_fixed.csv,True
Test 2B,t2b-a-h1,A,H1,J_H1,10,training,TRAINING,Y*=P(X*),0..79,1..80,0.0001009910456329,9108828.791369058,90194420052.5722,FE mixed-state mass energy of analytical one-step source targets at Y*_0..79; equivalent dt^2 increment energy cancels between numerator and denominator,frozen Test-2B X-state input/output normalization; no refit,frozen S/Q finite-element mass and inverse-mass maps,4da79d222a095588520d7b378841b4e1d13ff73d97830d0fc1d5ead42c90336e,4918720610f5bf67820e5ce4be7e275a14cd8fed4f501f9848d4e38f19a093c1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000010_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_training_objectives_fixed.csv,True
Test 2B,t2b-a-h1,A,H1,J_H1,20,training,TRAINING,Y*=P(X*),0..79,1..80,8.634996929814507e-05,7788285.40240361,90194420052.5722,FE mixed-state mass energy of analytical one-step source targets at Y*_0..79; equivalent dt^2 increment energy cancels between numerator and denominator,frozen Test-2B X-state input/output normalization; no refit,frozen S/Q finite-element mass and inverse-mass maps,b9ce6231200bfac508f013ed895876f66efb68014e8b7a627aa40a429d0365a6,eadaaccd86e1d536a9eee3c05f7584dba9e7890a8c40c60417d70b42dc43b9c5,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000020_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_training_objectives_fixed.csv,True
Test 2B,t2b-a-h1,A,H1,J_H1,100,training,TRAINING,Y*=P(X*),0..79,1..80,6.27323669818677e-05,5658109.458454686,90194420052.5722,FE mixed-state mass energy of analytical one-step source targets at Y*_0..79; equivalent dt^2 increment energy cancels between numerator and denominator,frozen Test-2B X-state input/output normalization; no refit,frozen S/Q finite-element mass and inverse-mass maps,a4df230205b08db5b0d5fc4bf34d462e3f3b088c5672e1d87cdb59bd2de205dd,8bdc7ad80e6c14746f928506963fadfed86ada61a895daaed619e13e4cf4bc64,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000100_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_training_objectives_fixed.csv,True
Test 2B,t2b-a-h1,A,H1,J_H1,500,training,TRAINING,Y*=P(X*),0..79,1..80,5.2182408479248794e-05,4706562.069732271,90194420052.5722,FE mixed-state mass energy of analytical one-step source targets at Y*_0..79; equivalent dt^2 increment energy cancels between numerator and denominator,frozen Test-2B X-state input/output normalization; no refit,frozen S/Q finite-element mass and inverse-mass maps,7b86597a0db7f191e1588c12187d14ae6a935e1ef129f9ac6c44bd980d29923e,e4d7f427dee028c78b28b3fbe413f06c28de77db99438ee0d82b89be59e5afe0,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000500_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_training_objectives_fixed.csv,True
Test 2B,t2b-a-h1,A,H1,J_H1,1000,training,TRAINING,Y*=P(X*),0..79,1..80,4.7943896386394376e-05,4324271.929631453,90194420052.5722,FE mixed-state mass energy of analytical one-step source targets at Y*_0..79; equivalent dt^2 increment energy cancels between numerator and denominator,frozen Test-2B X-state input/output normalization; no refit,frozen S/Q finite-element mass and inverse-mass maps,d45671a935ffb634a8815ea045af390d0eb69ba1ba7a22a48a545385f5cbc495,f3dd92c033c4ba6ce800991ee00b25b1b9f870f9eee49962a34e9d1ce4272438,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000001000_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_training_objectives_fixed.csv,True
Test 2B,t2b-a-h1,A,H1,J_H1,5000,training,TRAINING,Y*=P(X*),0..79,1..80,3.001818343501887e-05,2707472.6459532566,90194420052.5722,FE mixed-state mass energy of analytical one-step source targets at Y*_0..79; equivalent dt^2 increment energy cancels between numerator and denominator,frozen Test-2B X-state input/output normalization; no refit,frozen S/Q finite-element mass and inverse-mass maps,73f39ca1e345256157890f7c918ac41a43684262e4ad11c9465bd35706b16f83,a6a7667217ce26fa3b392cacc5e70f087db97622804db0cdcf123f7e532516c1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_training_objectives_fixed.csv,True
Test 2B,t2b-a-m1y,A,M1-Y,J_M1_Y,0,evaluation,EVALUATION,Y*,81..160,81..160,104.88737822638302,202106847145239.5,1926893879538.3315,carrier-weighted squared norm of the output-scaled analytical target on evaluation Y* states,frozen Test-2B X-state input/output normalization; no refit,frozen carrier-mass weights broadcast over states,6d4ac7bafe775b90a70e2a199ef3305308c3d02333f7daeac1c870b6f18e0975,fd3824949aa2a8ce09fe2b7ad9527a97bddd603e30434adeac7097933428cba3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000000_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_direct_histories.csv,False
Test 2B,t2b-a-m1y,A,M1-Y,J_M1_Y,1,evaluation,EVALUATION,Y*,81..160,81..160,714.7596820603702,1377266056702891.2,1926893879538.3315,carrier-weighted squared norm of the output-scaled analytical target on evaluation Y* states,frozen Test-2B X-state input/output normalization; no refit,frozen carrier-mass weights broadcast over states,1f6717c6d29b26d8ae17bd04c2e27d3a2ba394e39a53c3c0856eb8bf94579224,ad647a22109ac6044364ae808e5e02a51fb926ce94e5dccf2d6073dde6df33b2,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000001_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_direct_histories.csv,False
Test 2B,t2b-a-m1y,A,M1-Y,J_M1_Y,5,evaluation,EVALUATION,Y*,81..160,81..160,503.12342703594703,969465452207916.6,1926893879538.3315,carrier-weighted squared norm of the output-scaled analytical target on evaluation Y* states,frozen Test-2B X-state input/output normalization; no refit,frozen carrier-mass weights broadcast over states,a3b1a2203b097b5a4518a098fef7ec1f626901fde70bc5c3741922d68f88221b,51ab39228d854d90b27e709f77d6c96db9fa0fbcf43c214d94f6d175b8e88b82,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000005_parameters.npz,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/data/checkpoint_direct_histories.csv,False
