run_id,physical_case,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
t2b-b-m1x,Test 2B,B,M1-X,M1-X,5,J_M1_X,X,TRAINING TRUTH SUPPORT,0.34870362599070914,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,dd90f4a3e5aa666550f17bb4650c2af99e2f14cbc917bffbd37d389fa9261887,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000000005_parameters.npz
t2b-b-m1x,Test 2B,B,M1-X,M1-X,10,J_M1_X,X,TRAINING TRUTH SUPPORT,0.19950299115352058,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,8ad46c08b4ae5c7eede1eeca59923060d5d46698528938fb262f5ec620bdf058,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000000010_parameters.npz
t2b-b-m1x,Test 2B,B,M1-X,M1-X,20,J_M1_X,X,TRAINING TRUTH SUPPORT,0.10367481524034174,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,a9242776445d8de0b1373780f406999600e634f439537af8bf3b795290cc62e2,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000000020_parameters.npz
t2b-b-m1x,Test 2B,B,M1-X,M1-X,100,J_M1_X,X,TRAINING TRUTH SUPPORT,0.00885432667943987,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,b5dffceb42ce53a964f85cdc0f654629c00c5ac9fbafc8d822f7ba3ba88a48c1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000000100_parameters.npz
t2b-b-m1x,Test 2B,B,M1-X,M1-X,500,J_M1_X,X,TRAINING TRUTH SUPPORT,0.0002646960308906126,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,b26e83c7970f3b18dc5d42368c1d8792ffb2295745056a0283cf9891640b1b65,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000000500_parameters.npz
t2b-b-m1x,Test 2B,B,M1-X,M1-X,1000,J_M1_X,X,TRAINING TRUTH SUPPORT,0.00015518569762137022,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,3c50d0bcbecd34c861b3312354bb8539c67462687dfd49f207f9fb9797972ced,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000001000_parameters.npz
t2b-b-m1x,Test 2B,B,M1-X,M1-X,5000,J_M1_X,X,TRAINING TRUTH SUPPORT,0.0001181533860419287,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,1c06c5fee6164959e789f73c83a7a4b362156b55a21f345c79a767126589d016,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000005000_parameters.npz
t2b-b-m1x,Test 2B,B,M1-X,M1-X,10000,J_M1_X,X,TRAINING TRUTH SUPPORT,4.0727693178163705e-05,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,cfc9d3da6a8d07d74ae17e3d9a5beabe434e63b8005e95df4a1925c3a63c609c,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,0,J_M1_X,X,TRAINING TRUTH SUPPORT,1.1563488778876658,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,e52dd73e3f97d44adf4d55354b1c8d9a9b252186a17cae4ad09410270b86df1e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000000000_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,1,J_M1_X,X,TRAINING TRUTH SUPPORT,0.9026154733335935,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,f26bfb15e0fc2cdc59dbbf1bf83e6e961b8377803f5366df07e078779b1c76c8,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000000001_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,5,J_M1_X,X,TRAINING TRUTH SUPPORT,0.45618387376584957,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,4e4a56f01a887079d02e7a81a45c5f4d3c42422c90975ba77e831767ee8330bd,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000000005_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,10,J_M1_X,X,TRAINING TRUTH SUPPORT,0.2376768917995648,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,a538b18da65f17ddc4b2373531d402129c2ba9181a52360d224f8d4cfdf6a16d,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000000010_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,20,J_M1_X,X,TRAINING TRUTH SUPPORT,0.09563194984138909,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,0139d284d4e95e71bedfad21186b3396537d549ed498eff6a25e9f2ee26021e6,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000000020_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,100,J_M1_X,X,TRAINING TRUTH SUPPORT,0.0038513952521297924,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,f0c45c4cdf7526d545eb5a5a5d3602610e7ebed1a1c62887cde4bcc8d635a003,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000000100_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,500,J_M1_X,X,TRAINING TRUTH SUPPORT,0.001339256588420824,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,eb88d834da7567eb284cca2d0e5f79f80ef9f3a06a27337689f88225f583d8bf,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000000500_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,1000,J_M1_X,X,TRAINING TRUTH SUPPORT,0.00017186555089659445,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,b504a1531824273ae3751ed1d454042031e51a511aec9d3e3af183d0f824e50d,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000001000_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,5000,J_M1_X,X,TRAINING TRUTH SUPPORT,0.00011471507735781692,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,f0a2b8a6759b2f8fd03e028abf3ed7e26a2f60bd55d1387d03037e7329658ab0,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000005000_parameters.npz
t2b-c-m1x,Test 2B,C,M1-X,M1-X,10000,J_M1_X,X,TRAINING TRUTH SUPPORT,3.869751976556204e-05,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,8ad9c8017c9304827d8e9e73392c3a9503f7de05a38b86baf52f4351c35615e4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/m1-seed0-m20-10k/checkpoint_000010000_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,0,J_M1_Y,Y,TRAINING TRUTH SUPPORT,1.1338977429314239,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,6d4ac7bafe775b90a70e2a199ef3305308c3d02333f7daeac1c870b6f18e0975,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000000_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,1,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.926681222724748,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,1f6717c6d29b26d8ae17bd04c2e27d3a2ba394e39a53c3c0856eb8bf94579224,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000001_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,5,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.40604864445158967,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,a3b1a2203b097b5a4518a098fef7ec1f626901fde70bc5c3741922d68f88221b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000005_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,10,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.20088616857352398,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,c42cf659ce501bfbd0e92a29af1029f39ff49d8ca6d25b7c58ed171b86ec2d92,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000010_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,20,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.09524203082912948,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,e7e1dca4b7d1f4aff5633a35bc5f5aec5771f44a35f418f17584812de8bec573,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000020_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,100,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.0043126943234802866,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,80473a5b5e26db8fc21978d1a57c899a1a8d8c3e05e1fe8197d3f9f5c5d33400,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000100_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,500,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.00030559691225119173,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,f01c80062974ebd284a6eccf2016bbace28443678d1df439cb61d09f16942871,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000000500_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,1000,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.00027165519033383353,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,7b6563184aea573171801ccd761b4b7031e119976b08700baabc6ffde362856b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000001000_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,5000,J_M1_Y,Y,TRAINING TRUTH SUPPORT,6.327832458300262e-05,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,fdbd1fbff1c8d51d1e44dc724938c1288a1e5cac0ee0fb0f3064b898e17f773a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000005000_parameters.npz
t2b-a-m1y,Test 2B,A,M1-Y,M1-Y,10000,J_M1_Y,Y,TRAINING TRUTH SUPPORT,2.439509618905571e-05,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,ed838229022ef2ac38a29bb88c8e98f2c173b89e0573088036ad301f76f4e158,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-A/m1y-seed0-m20-10k/checkpoint_000010000_parameters.npz
t2b-b-m1y,Test 2B,B,M1-Y,M1-Y,0,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.9491142757431879,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,cfadd9f3ee02a78c5b3a946b88c039d9f7ed34e719325ff22c92e1fe4afac056,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000000_parameters.npz
t2b-b-m1y,Test 2B,B,M1-Y,M1-Y,1,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.7611138863288753,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,7e21d5fd4326a68b324dcf79771d230ce522118b758c07ba04037564c9882809,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000001_parameters.npz
t2b-b-m1y,Test 2B,B,M1-Y,M1-Y,5,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.3509832760358692,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,b62514206777a98739ece9947719f52b29ee501eac27f4691073e686a66cb70a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000005_parameters.npz
t2b-b-m1y,Test 2B,B,M1-Y,M1-Y,10,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.20174153079259377,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,bb4de844fcfef20f82290fc8b30e2b398ab6cfe2d89dd4a872f0736a42fdcfce,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000010_parameters.npz
t2b-b-m1y,Test 2B,B,M1-Y,M1-Y,20,J_M1_Y,Y,TRAINING TRUTH SUPPORT,0.10875946040236915,POST-HOC FIXED-ARRAY CHECKPOINT EVALUATION,True,c9a4f98d97f1f6953dcd85433f7be653e7883230266f03b17b18086f0d40ea25,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/production/representation-B/m1y-seed0-m20-10k/checkpoint_000000020_parameters.npz
