physical_case,representation,model_label,run_id,rain_diagnostic_kind,first_meaningful_rain_time_s,onset_error_s,pre_truth_onset_false_positive_count,pre_truth_onset_false_positive_fraction,false_negative_rate_given_truth_active,time_integrated_rain_source_mass,time_integrated_rain_source_mass_error,final_Qr_mass,final_Qr_mass_error,final_Qc_mass,final_Qc_mass_error,source_path,quantity_kind
Test 2B,B,warm M2-X,t2b-b-m2x-warm,direct learned R,0.0,-5100.0,2741202,0.8201455508961397,0.0013175230566534915,142571986.77108735,-88161020.20931512,142571986.7710874,-88161020.2093156,1551471392204.546,-39924148.685302734,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,B,H1,t2b-b-h1,direct learned R,0.0,-5100.0,2758522,0.8253275553385416,0.0,151260771.10737783,-79472235.87302464,151260771.10737765,-79472235.87302536,1550570840213.1792,-940476140.052002,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,B,H2,t2b-b-h2,direct learned R,0.0,-5100.0,2758486,0.8253167844286152,0.0,151472560.02569652,-79260446.95470595,151472560.02569664,-79260446.95470637,1550603455237.671,-907861115.5603027,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,B,H5,t2b-b-h5,direct learned R,0.0,-5100.0,2758516,0.8253257601868873,0.0,150267821.51042175,-80465185.46998072,150267821.5104218,-80465185.4699812,1550571917448.1157,-939398905.1154785,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,B,M1-Y,t2b-b-m1y,direct learned R,0.0,-5100.0,916088,0.27408614813112747,0.0,256211308.30291855,25478301.322516084,256211308.30291852,25478301.322515517,1555139196826.3835,3627880473.1523438,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_B_matched.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,C,M1-X,t2b-c-m1x,effective R_Qr=predicted Qr source/h,0.0,-5100.0,2601026,0.7782060211780024,0.0,189484976.96716377,-41248030.0132387,189484976.96716386,-41248030.013239145,1557242825538.831,5731509185.5998535,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,C,M2-X-independent,t2b-c-m2x-independent,effective R_Qr=predicted Qr source/h,,,0,0.0,1.0,-7409320567.463007,-7640053574.443409,-7409320567.463009,-7640053574.443412,1580840181466.8745,29328865113.64331,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,C,warm M2-X,t2b-c-m2x-warm,effective R_Qr=predicted Qr source/h,0.0,-5100.0,144,4.3083639705882356e-05,0.0,-433806183.64773715,-664539190.6281396,-433806183.6477376,-664539190.6281407,1525520170896.3694,-25991145456.861816,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,C,H1,t2b-c-h1,effective R_Qr=predicted Qr source/h,0.0,-5100.0,7386,0.002209831686580882,,-812441231.8559258,-1043174238.8363283,-812441231.8559265,-1043174238.8363295,1440140959967.8145,-111370356385.41675,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,C,H2,t2b-c-h2,effective R_Qr=predicted Qr source/h,0.0,-5100.0,7806,0.002335492302389706,,-789614084.0410956,-1020347091.0214981,-789614084.0410974,-1020347091.0215003,1388499593591.526,-163011722761.70532,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,C,H5,t2b-c-h5,effective R_Qr=predicted Qr source/h,0.0,-5100.0,8252,0.0024689319087009805,,-543257501.7660604,-773990508.7464628,-543257501.7660602,-773990508.7464633,1281301726196.3765,-270209590156.85474,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,C,M1-Y,t2b-c-m1y,effective R_Qr=predicted Qr source/h,0.0,-5100.0,2118322,0.6337848738128063,0.0,164809565.52665743,-65923441.45374504,164809565.52665725,-65923441.45374575,1539229463392.126,-12281852961.105225,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
