physical_case,run_id,representation,model_label,maximum_absolute_total_water_drift,relative_maximum_total_water_drift,final_total_water_drift,final_mixed_state_error,maximum_mixed_state_error,minimum_Qv_coefficient,minimum_Qc_coefficient,minimum_Qr_coefficient,minimum_moisture_coefficient,final_Qc_mass,final_Qc_mass_error,final_Qr_mass,final_Qr_mass_error,rain_onset_time_s,rain_onset_error_s,pre_truth_onset_false_positive_count,pre_truth_onset_false_positive_fraction,false_negative_rate_given_truth_active,time_integrated_rain_source_mass,time_integrated_rain_source_mass_error,water_source_identity_status,water_source_defect_RMS,water_source_defect_maximum_absolute,thermodynamic_source_identity_status,S_minus_beta2_Qv_source_defect_RMS,S_minus_beta2_Qv_source_defect_maximum_absolute,all_state_coefficients_finite,source_path,quantity_kind
Test 2B,t2b-b-h1,B,H1,0.6328125,1.7109109560878357e-14,-0.5546875,3.3807730136649888e-06,3.8888069156476835e-06,0.5546705927251638,-0.001411055849738243,-2.9463315372324424e-06,-0.001411055849738243,1550570840213.1792,-940476140.052002,151260771.10737765,-79472235.87302536,0.0,-5100.0,2758522,0.8253275553385416,0.0,151260771.10737783,-79472235.87302464,STRUCTURALLY ENFORCED,0.0,1.83627892132178e-19,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-b-h2,B,H2,0.6640625,1.795400386018099e-14,-0.5234375,3.3692798928241237e-06,3.875264573951402e-06,0.5546545678742307,-0.0014082069352182268,-2.943660661444922e-06,-0.0014082069352182268,1550603455237.671,-907861115.5603027,151472560.02569664,-79260446.95470637,0.0,-5100.0,2758486,0.8253167844286152,0.0,151472560.02569652,-79260446.95470595,STRUCTURALLY ENFORCED,0.0,1.829744194482611e-19,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-b-h5,B,H5,0.6875,1.8587674584657967e-14,-0.53125,3.3078053317929307e-06,3.817337448788364e-06,0.5546561009805205,-0.0014142718352285555,-2.939533312644917e-06,-0.0014142718352285555,1550571917448.1157,-939398905.1154785,150267821.5104218,-80465185.4699812,0.0,-5100.0,2758516,0.8253257601868873,0.0,150267821.51042175,-80465185.46998072,STRUCTURALLY ENFORCED,0.0,1.8278065238977056e-19,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/representation_b_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-b-m1y,B,M1-Y,0.6875,1.8587674584657967e-14,-0.453125,5.099172034159845e-06,5.099365299068984e-06,0.5518902298226693,-0.0005154246898617489,-1.5676436391179373e-06,-0.0005154246898617489,1555139196826.3835,3627880473.1523438,256211308.30291852,25478301.322515517,0.0,-5100.0,916088,0.27408614813112747,0.0,256211308.30291855,25478301.322516084,STRUCTURALLY ENFORCED,0.0,1.7664636336202113e-19,STRUCTURALLY ENFORCED,0.0,1.3877787807814457e-17,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_B_matched.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-c-m1x,C,M1-X,4749359972.640625,0.00012840662931904584,4749359972.640625,1.5788026680940496e-05,1.8787095709716013e-05,0.5536557821588666,-0.0015166319499180481,-2.938325820815508e-06,-0.0015166319499180481,1557242825538.831,5731509185.5998535,189484976.96716386,-41248030.013239145,0.0,-5100.0,2601026,0.7782060211780024,0.0,189484976.96716377,-41248030.0132387,LEARNED / NOT ENFORCED,1.8749143141496983e-07,2.9364574692495244e-06,LEARNED / NOT ENFORCED,1.6403728224784255e-05,0.00023321468352202151,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-c-m2x-independent,C,M2-X-independent,213339128711.02344,0.005767968437316313,213339128711.02344,0.0005643906734945558,0.0005643906734945558,0.5518558156813095,-0.01898928060290371,-0.0005773633010452572,-0.01898928060290371,1580840181466.8745,29328865113.64331,-7409320567.463009,-7640053574.443412,,,0,0.0,1.0,-7409320567.463007,-7640053574.443409,LEARNED / NOT ENFORCED,2.4778121163729737e-06,5.1682753868812486e-05,LEARNED / NOT ENFORCED,0.0008354953336319981,0.013964265408053561,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-c-m2x-warm,C,warm M2-X,55316622182.3125,0.0014955743596324323,-55316622182.3125,0.0001238939312926057,0.0001238939312926057,0.5552126252117227,-0.008403838211959454,-2.1726812605732183e-05,-0.008403838211959454,1525520170896.3694,-25991145456.861816,-433806183.6477376,-664539190.6281407,0.0,-5100.0,144,4.3083639705882356e-05,0.0,-433806183.64773715,-664539190.6281396,LEARNED / NOT ENFORCED,5.727781399284459e-07,6.0438415198685535e-06,LEARNED / NOT ENFORCED,0.00016430156201050654,0.0027878384071092985,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-c-h1,C,H1,131768672485.73438,0.003562579206715934,-131768672485.73438,0.0001815305444895965,0.0001815305444895965,0.5565574492447206,-0.017532084892398152,-4.939738597845038e-05,-0.017532084892398152,1440140959967.8145,-111370356385.41675,-812441231.8559265,-1043174238.8363295,0.0,-5100.0,7386,0.002209831686580882,,-812441231.8559258,-1043174238.8363283,LEARNED / NOT ENFORCED,8.939973219879312e-07,6.516156139538087e-06,LEARNED / NOT ENFORCED,0.0002413667587125336,0.003202205537280005,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-c-h2,C,H2,418547171040.0703,0.011316099801632009,-418547171040.0703,0.0003959347532908534,0.0003959347532908534,0.551967304721359,-0.01850609342571139,-5.038174386151692e-05,-0.01850609342571139,1388499593591.526,-163011722761.70532,-789614084.0410974,-1020347091.0215003,0.0,-5100.0,7806,0.002335492302389706,,-789614084.0410956,-1020347091.0214981,LEARNED / NOT ENFORCED,1.3227655346706449e-06,7.412334545133182e-06,LEARNED / NOT ENFORCED,0.0003580809498935444,0.0030571421617836825,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-c-h5,C,H5,1252003648509.7578,0.033849943850623815,-1252003648509.7578,0.0013892015732802953,0.0013892015732802953,0.5364581388954334,-0.020883878993614623,-5.3993969841023256e-05,-0.020883878993614623,1281301726196.3765,-270209590156.85474,-543257501.7660602,-773990508.7464633,0.0,-5100.0,8252,0.0024689319087009805,,-543257501.7660604,-773990508.7464628,LEARNED / NOT ENFORCED,3.2773507707283366e-06,9.157029797067094e-06,LEARNED / NOT ENFORCED,0.0009991423738505035,0.002977930517884704,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/representation_c_final_comparison.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
Test 2B,t2b-c-m1y,C,M1-Y,16450343049.296875,0.0004447616340455569,-16450343049.296875,1.2101480407924054e-05,1.2101480407924054e-05,0.5535949601820941,-0.0006399200097184523,-1.7030246392322469e-06,-0.0006399200097184523,1539229463392.126,-12281852961.105225,164809565.52665725,-65923441.45374575,0.0,-5100.0,2118322,0.6337848738128063,0.0,164809565.52665743,-65923441.45374504,LEARNED / NOT ENFORCED,1.537187736269076e-07,2.3357595685058113e-06,LEARNED / NOT ENFORCED,9.978626859626924e-06,0.00015853703745542097,True,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json,FINAL STORED DEPLOYMENT DIAGNOSTIC
