run_id,physical_case,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,state_indices,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,5,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.8348950976734146e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,818f905737163916df046650b0e39f7a0be6231be94506e3cb0f33b5a80f8ccc,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000000005_parameters.npz
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,10,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.8343692653124165e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,3825116f841a93184a93e30c34edde64cc0e251fe2c2cb099fe8d7b2423b9a33,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000000010_parameters.npz
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,20,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.8328669145213768e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,bfde03182b32f54ca94afaba6b1e8839db730d601cd328426163e994419bde31,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000000020_parameters.npz
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,100,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.8232826839798473e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,893ae6da8d3797b8d24ca032fb86c06b7e3e9cdf7a4918f2293d38ce5b4b2884,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000000100_parameters.npz
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,500,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.8039351512409557e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,cc6165e60740926b294926a4e1e15a47b91aa7a494b26b425971a693d5ea26fa,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000000500_parameters.npz
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,1000,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.7747369979476568e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,9ab95f056ac5305f11c8a6937b9d6611a9bdc92531acf1fbc559bf4ba6dbc60c,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000001000_parameters.npz
t2b-a-m2x-warm,Test 2B,A,warm M2-X,M2-X,5000,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.4875848850968718e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,0cf7dc9036c84c6ac3a78cf7e16cfa56fb7eb985ba7f460e3dccb139bb826d3e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/m1-to-m2x-m20-5k/checkpoint_000005000_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,0,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,0.0001770084405503909,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,471f3ac8a9b84f68bbe14bdc7dee62e3a025ac5cf61503db6644d5a1fa1bb506,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000000_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,1,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,0.0001611773152305664,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,a6b55978819b13f2e2912224a40088e464f5218ae2368e7825a0865e8b1938f2,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000001_parameters.npz
t2b-a-h1,Test 2B,A,H1,H1,5,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,0.00013180990372557946,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,03d167c349be32bc738c53a7cf4a622f7d46194543bf0e7c72b90e95ee8261e1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-A/h1-from-m1-m20-5k/checkpoint_000000005_parameters.npz
