run_id,physical_case,representation,model_label,trained_objective,checkpoint_iteration,checkpoint_parameter_pytree_sha256,checkpoint_npz_sha256,checkpoint_path,evaluation_state,support,state_first,state_last,support_use,quantity,metric,value
t2b-c-h1,Test 2B,C,H1,H1,5000,c44aa9e8811aacb423570a3bcb2f819462d882931b929a7bee442bb8b9a1d1c3,be3fac690063191ee78df7a8515b580d17842a34083835c73232ab1bb3995c6b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,Y,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,source_components.Qv,relative_RMS_error,0.0321910648025277
t2b-c-h1,Test 2B,C,H1,H1,5000,c44aa9e8811aacb423570a3bcb2f819462d882931b929a7bee442bb8b9a1d1c3,be3fac690063191ee78df7a8515b580d17842a34083835c73232ab1bb3995c6b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,Y,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,source_components.S,relative_RMS_error,0.0063018756711385
t2b-c-h1,Test 2B,C,H1,H1,5000,c44aa9e8811aacb423570a3bcb2f819462d882931b929a7bee442bb8b9a1d1c3,be3fac690063191ee78df7a8515b580d17842a34083835c73232ab1bb3995c6b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,Y,HELD-OUT TRUTH SUPPORT,81,160,POST-HOC CHECKPOINT EVALUATION,source_components.Qc,relative_RMS_error,2.614229791209161
t2b-c-h1,Test 2B,C,H1,H1,5000,c44aa9e8811aacb423570a3bcb2f819462d882931b929a7bee442bb8b9a1d1c3,be3fac690063191ee78df7a8515b580d17842a34083835c73232ab1bb3995c6b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,Y,HELD-OUT TRUTH SUPPORT,81,160,POST-HOC CHECKPOINT EVALUATION,source_components.Qr,relative_RMS_error,0.8078303573362438
t2b-c-h1,Test 2B,C,H1,H1,5000,c44aa9e8811aacb423570a3bcb2f819462d882931b929a7bee442bb8b9a1d1c3,be3fac690063191ee78df7a8515b580d17842a34083835c73232ab1bb3995c6b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,Y,HELD-OUT TRUTH SUPPORT,81,160,POST-HOC CHECKPOINT EVALUATION,source_components.Qv,relative_RMS_error,2.4988350418761547
t2b-c-h1,Test 2B,C,H1,H1,5000,c44aa9e8811aacb423570a3bcb2f819462d882931b929a7bee442bb8b9a1d1c3,be3fac690063191ee78df7a8515b580d17842a34083835c73232ab1bb3995c6b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h1-from-m1-m20-5k/checkpoint_000005000_parameters.npz,Y,HELD-OUT TRUTH SUPPORT,81,160,POST-HOC CHECKPOINT EVALUATION,source_components.S,relative_RMS_error,2.030679370956442
t2b-c-h2,Test 2B,C,H2,H2,20,3ae5e9d6729977310e7e9d740490c223539aa514cf0e24e379adab25d7ca6d70,cce0fff0c49ad9577a5cfe6b1e8176eb45af8e1d1dbac6e98029d75e3dce1657,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz,Y,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,source_components.Qc,relative_RMS_error,0.0320221719253552
t2b-c-h2,Test 2B,C,H2,H2,20,3ae5e9d6729977310e7e9d740490c223539aa514cf0e24e379adab25d7ca6d70,cce0fff0c49ad9577a5cfe6b1e8176eb45af8e1d1dbac6e98029d75e3dce1657,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz,Y,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,source_components.Qr,relative_RMS_error,1.6636249784729038
t2b-c-h2,Test 2B,C,H2,H2,20,3ae5e9d6729977310e7e9d740490c223539aa514cf0e24e379adab25d7ca6d70,cce0fff0c49ad9577a5cfe6b1e8176eb45af8e1d1dbac6e98029d75e3dce1657,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz,Y,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,source_components.Qv,relative_RMS_error,0.03571409377171
t2b-c-h2,Test 2B,C,H2,H2,20,3ae5e9d6729977310e7e9d740490c223539aa514cf0e24e379adab25d7ca6d70,cce0fff0c49ad9577a5cfe6b1e8176eb45af8e1d1dbac6e98029d75e3dce1657,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-C/h2-from-h1-m20-20/checkpoint_000000020_parameters.npz,Y,TRAINING TRUTH SUPPORT,0,80,POST-HOC CHECKPOINT EVALUATION,source_components.S,relative_RMS_error,0.009132247078231
