physical_case,representation,trained_model,evaluation_state,regime,quantity,state_indices,sample_count,physical_RMS_error,normalized_RMS_error,relative_RMS_error,maximum_absolute_error,signed_mass_weighted_bias,correlation,source
Test 2B,C,M1-X,Y,TRAINING_SUSTAINED_RAIN,source_Qr,,1310720,9.174653067396552e-11,0.006085400566901177,0.03521806863805985,4.165463471156707e-09,6.756740264603132e-13,0.9993667465723842,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-X,Y,TRAINING_SUSTAINED_RAIN,source_Qv,,1310720,8.957881875320865e-07,0.013166861378859817,0.5052983267870972,2.7235412281429813e-05,9.41750417063074e-10,0.9006468384357275,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-X,Y,TRAINING_SUSTAINED_RAIN,source_S,,1310720,8.990644789254617e-05,0.013476241854160666,0.517171272967051,0.0026261561819151107,-4.426563124062541e-09,0.9057632164566867,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,HELDOUT_MATURE_RAIN,source_Qc,,5242880,3.0885834333516892e-06,0.04539795289692899,1.499876738281175,7.724168491289008e-05,3.9246030372762856e-07,0.4339703553137148,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,HELDOUT_MATURE_RAIN,source_Qr,,5242880,3.799826256510576e-10,0.025203639511632316,0.08219669906350455,9.600939586044684e-09,-3.6987858756744824e-11,0.9972734142210706,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,HELDOUT_MATURE_RAIN,source_Qv,,5242880,3.119174194784512e-06,0.04584759523609287,1.5147578233685506,7.905584954527292e-05,-4.781740002104006e-07,0.43189439550002223,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,HELDOUT_MATURE_RAIN,source_S,,5242880,0.000310352548717638,0.046519310957238005,1.5369506262504609,0.007800721135438239,-4.486472771924432e-05,0.4199767462089339,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,ONSET,source_Qc,,655360,3.7504722125664923e-07,0.005512681283230439,0.21671929214550917,1.6750794514534767e-05,-1.080486179854734e-08,0.9761461119373601,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,ONSET,source_Qr,,655360,9.882215030195318e-11,0.00655471509442643,0.2607651323424802,1.853394070243003e-09,2.9225193269331384e-12,0.9653345117606468,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,ONSET,source_Qv,,655360,3.763008009037366e-07,0.005531107187184195,0.21744074351287407,1.6582828285659215e-05,5.329124650002435e-09,0.9761835362906726,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,ONSET,source_S,,655360,3.6874848735678756e-05,0.005527238496748537,0.2172886562550643,0.0016499767702374225,5.755562114065896e-07,0.9761420407909196,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,PRE_RAIN,source_Qc,,3342336,2.9981321465082554e-07,0.004406844267057622,0.0034963007784454573,1.6346789007302726e-05,6.3104191110283875e-09,0.999993770560723,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,PRE_RAIN,source_Qr,,3342336,2.187467454031351e-11,0.0014509121584275484,9.830988062117271e+296,1.485467448351283e-09,-9.3184905963546e-13,,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,PRE_RAIN,source_Qv,,3342336,3.026916329831449e-07,0.004449153078262737,0.0035298677320158684,1.6000717601213805e-05,-1.8877318361550015e-09,0.9999936508086297,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,PRE_RAIN,source_S,,3342336,2.9348530682780086e-05,0.004399104923131878,0.003490160541740381,0.0015764906780555915,2.578610346971682e-09,0.9999937957988858,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,TRAINING_OVERALL,source_Qc,,5308416,3.5031452279209144e-07,0.0051491444372500535,0.0051477785639168164,2.090171967807911e-05,-1.0396764471976715e-09,0.9999865855617888,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,TRAINING_OVERALL,source_Qr,,5308416,8.923615803471502e-11,0.005918891566835378,0.06857387189818062,8.168051560553385e-09,1.6694660864364183e-13,0.9976334394905148,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,TRAINING_OVERALL,source_Qv,,5308416,3.503926951286261e-07,0.005150293461263637,0.005148927190199489,2.0439864387715287e-05,-2.3881855088269543e-09,0.9999865820994897,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,TRAINING_OVERALL,source_S,,5308416,3.430946794382406e-05,0.005142708879469349,0.0051413446204448465,0.002078265207586437,1.822576281027105e-08,0.9999866248397116,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,TRAINING_SUSTAINED_RAIN,source_Qc,,1310720,4.443788432091143e-07,0.006531761316386628,0.25069237938191574,2.090171967807911e-05,-1.4899827444999284e-08,0.9679607690205622,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,TRAINING_SUSTAINED_RAIN,source_Qr,,1310720,1.6170168511228204e-10,0.010725414018629344,0.06207124131387218,8.168051560553385e-09,1.5910892036106028e-12,0.9980314206700939,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,TRAINING_SUSTAINED_RAIN,source_Qv,,1310720,4.3909121595481763e-07,0.006454040423417613,0.2476836151860219,2.0439864387715287e-05,-7.522997453555134e-09,0.9687723811488562,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
Test 2B,C,M1-Y,Y,TRAINING_SUSTAINED_RAIN,source_S,,1310720,4.348713213682719e-05,0.00651836574524832,0.25015219722359716,0.002078265207586437,-2.2053922270647487e-07,0.9681551095076717,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/m1y_test2b_20260828_workspace/external-results/m1y-test2b-20260828/evaluation/representation_C_matched.json
